2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Physics,true
2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Chemistry,false
2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Chemistry,false
2024-05-05,SUNDAY,sdkl,11,Mathematics,true
2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Physics,true
2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Chemistry,false
2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Chemistry,false
2024-05-05,SUNDAY,sdkl,11,Mathematics,true
2024-05-16,THURSDAY,sdkl,11,Mathematics,true
2024-05-16,THURSDAY,abc,123,Mathematics,true
2024-05-16,THURSDAY,abcd,1234,Mathematics,true
2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Physics,true
2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Chemistry,false
2024-05-05,SUNDAY,abc,123,Mathematics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abc,123,Physics,true
2024-05-05,SUNDAY,abcd,1234,Chemistry,false
2024-05-05,SUNDAY,sdkl,11,Mathematics,true
2024-05-16,THURSDAY,sdkl,11,Mathematics,true
2024-05-16,THURSDAY,abc,123,Mathematics,true
2024-05-16,THURSDAY,abcd,1234,Mathematics,true
2024-05-16,THURSDAY,sdkl,11,Physics,true
2024-05-16,THURSDAY,abc,123,Physics,false
2024-05-16,THURSDAY,abcd,1234,Physics,true
